Name,Movie duration,Genre,IMDb,No of Votes,Dubbed Or Not,Director Name
777 Charlie,136 min,"Adventure, Comedy, Drama",8.8,34336,DUBBED,Kiranraj K
Rocketry: The Nambi Effect,157 min,"Biography, Drama",8.8,52719,Not Dubbed,Madhavan
The Kashmir Files,170 min,Drama,8.7,563914,Not Dubbed,Vivek Agnihotri
K.G.F: Chapter 2,168 min,"Action, Crime, Drama",8.3,138622,DUBBED,Prashanth Neel
Vikram,175 min,"Action, Crime, Thriller",8.3,63126,DUBBED,Lokesh Kanagaraj
Drishyam 2,140 min,"Crime, Drama, Mystery",8.2,35524,Not Dubbed,Abhishek Pathak
Major,150 min,"Action, Biography, Drama",8.1,30172,Not Dubbed,Sashi Kiran Tikka
RRR (Rise Roar Revolt),187 min,"Action, Drama",7.8,147195,DUBBED,S.S. Rajamouli
Gangubai Kathiawadi,152 min,"Biography, Crime, Drama",7.8,57657,Not Dubbed,Sanjay Leela Bhansali
Ponniyin Selvan: I,167 min,"Action, Adventure, Drama",7.7,32015,DUBBED,Mani Ratnam
A Thursday,128 min,"Drama, Thriller",7.7,24162,Not Dubbed,Behzad Khambata
Sharmaji Namkeen,119 min,"Comedy, Drama, Family",7.6,10783,Not Dubbed,Hitesh Bhatia
Khuda Haafiz Chapter II: Agni Pariksha,144 min,"Action, Crime, Drama",7.5,14284,Not Dubbed,Faruk Kabir
Monica O My Darling,129 min,"Comedy, Crime, Drama",7.4,17593,Not Dubbed,Vasan Bala
Jhund,176 min,"Biography, Drama, Sport",7.4,25329,Not Dubbed,Nagraj Manjule
Toolsidas Junior,132 min,"Drama, Family, Sport",7.4,2444,Not Dubbed,Mridul Toolsidas
Bhediya,156 min,"Comedy, Horror, Thriller",7.3,14983,Not Dubbed,Amar Kaushik
Jersey,170 min,"Drama, Sport",7.3,13515,Not Dubbed,Gowtam Tinnanuri
Vikram Vedha,160 min,"Action, Crime, Drama",7.1,17715,Not Dubbed,Gayatri
Uunchai,173 min,"Adventure, Drama",7.1,6590,Not Dubbed,Sooraj R. Barjatya
An Action Hero,130 min,"Action, Comedy, Crime",7,28500,Not Dubbed,Anirudh Iyer
Runway 34,145 min,"Drama, Thriller",7,28750,Not Dubbed,Ajay Devgn
Badhaai Do,147 min,"Comedy, Crime, Drama",7,19517,Not Dubbed,Harshavardhan Kulkarni
Jaadugar,167 min,"Comedy, Drama, Fantasy",6.9,10971,Not Dubbed,Sameer Saxena
Goodbye,130 min,"Comedy, Drama, Family",6.8,9030,Not Dubbed,Vikas Bahl
HIT: The First Case,132 min,"Action, Crime, Drama",6.8,15228,Not Dubbed,Sailesh Kolanu
Attack,121 min,"Action, Sci-Fi, Thriller",6.8,16096,Not Dubbed,Lakshya Raj Anand
Doctor G,124 min,"Comedy, Drama",6.7,16533,Not Dubbed,Anubhuti Kashyap
Mili,127 min,"Drama, Thriller",6.7,10107,Not Dubbed,Mathukutty Xavier
Tadka,177 min,"Comedy, Drama, Romance",6.7,1715,Not Dubbed,Prakash Raj
Jalsa,126 min,"Drama, Thriller",6.6,6647,Not Dubbed,Suresh Triveni
Darlings,133 min,"Comedy, Drama, Thriller",6.5,19406,Not Dubbed,Jasmeet K Reen
Anek,147 min,"Action, Drama, Sport",6.5,22095,Not Dubbed,Anubhav Sinha
Jug Jugg Jeeyo,148 min,"Comedy, Drama, Family",6.1,37871,Not Dubbed,Raj Mehta
Love Hostel,100 min,"Action, Crime, Romance",5.9,11056,Not Dubbed,Shanker Raman
Gehraiyaan,148 min,"Drama, Romance",5.8,43828,Not Dubbed,Shakun Batra
Brahmastra Part One: Shiva,167 min,"Action, Adventure, Fantasy",5.5,108107,Not Dubbed,Ayan Mukerji
Laal Singh Chaddha,159 min,"Comedy, Drama, Romance",5.5,175256,Not Dubbed,Advait Chandan
